Deze csv werd beperkt tot 2000 resultaten.
Meer gegevens kunnen gevonden worden door de parameter 'pagina' toe te voegen aan de zoekstring.
 Eerste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=1
 Laatste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=76
 Volgende pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=2
id,type,naam,locatie,provincie,gemeente,deelgemeente,nummers,stijl,typologie,context,materiaal,plantensoort,datering,gga_motivatie,personen,gebeurtenissen,themas,geldig vanaf,geldig tot,geldigheid opmerkingen,besluiten,dataverantwoordelijke,toelatingsplichtige handelingen
123791,"Gebied geen archeologie, gewestelijk",Gebied 2960,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123792,"Gebied geen archeologie, gewestelijk",Gebied 2961,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123793,"Gebied geen archeologie, gewestelijk",Gebied 2962,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
123794,"Gebied geen archeologie, gewestelijk",Gebied 2963,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124362,"Gebied geen archeologie, gewestelijk",Gebied 3552,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124531,"Gebied geen archeologie, gewestelijk",Gebied 3729,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124609,"Gebied geen archeologie, gewestelijk",Gebied 3810,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,ontginning,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124610,"Gebied geen archeologie, gewestelijk",Gebied 3811,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,ontginning,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124611,"Gebied geen archeologie, gewestelijk",Gebied 3812,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,sanering,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124634,"Gebied geen archeologie, gewestelijk",Gebied 3836,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124651,"Gebied geen archeologie, gewestelijk",Gebied 3854,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124940,"Gebied geen archeologie, gewestelijk",Gebied 4150,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124942,"Gebied geen archeologie, gewestelijk",Gebied 4152,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124967,"Gebied geen archeologie, gewestelijk",Gebied 4177,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
124982,"Gebied geen archeologie, gewestelijk",Gebied 4194,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologisch onderzoek,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
125157,"Gebied geen archeologie, gewestelijk",Gebied 4371,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
125899,"Gebied geen archeologie, gewestelijk",Gebied 5154,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
126072,"Gebied geen archeologie, gewestelijk",Gebied 5333,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
126103,"Gebied geen archeologie, gewestelijk",Gebied 5365,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
126324,"Gebied geen archeologie, gewestelijk",Gebied 5591,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
126426,"Gebied geen archeologie, gewestelijk",Gebied 5694,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 12,,2019-11-25,,,14870,Agentschap Onroerend Erfgoed,nee
126727,"Gebied geen archeologie, gewestelijk",Gebied 5990,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 13,,2020-07-28,,,14937,Agentschap Onroerend Erfgoed,nee
126969,"Gebied geen archeologie, gewestelijk",Gebied 6202,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 13,,2020-07-28,,,14937,Agentschap Onroerend Erfgoed,nee
127009,"Gebied geen archeologie, gewestelijk",Gebied 6242,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 13,,2020-07-28,,,14937,Agentschap Onroerend Erfgoed,nee
127060,"Gebied geen archeologie, gewestelijk",Gebied 6350,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 13,,2020-07-28,,,14937,Agentschap Onroerend Erfgoed,nee
127098,"Gebied geen archeologie, gewestelijk",Gebied 6315,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 13,,2020-07-28,,,14937,Agentschap Onroerend Erfgoed,nee
127102,"Gebied geen archeologie, gewestelijk",Gebied 6308,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 13,,2020-07-28,,,14937,Agentschap Onroerend Erfgoed,nee
